"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 12 08:29:51 GMT 2024","Fri Apr 12 08:29:58 GMT 2024","6388","chromium","","QA Automation > MoneySign Guide Page","","","Click on Opportunistic Lion, assert response and close the card",""
"passed","Fri Apr 12 08:30:04 GMT 2024","Fri Apr 12 08:30:11 GMT 2024","6269","chromium","","QA Automation > MoneySign Guide Page","","","Click on Enlightened Whale, assert response and close the card",""
"passed","Fri Apr 12 08:31:16 GMT 2024","Fri Apr 12 08:31:22 GMT 2024","5744","chromium","","QA Automation > Magazine Page","","","Go to Personal Essay, assert response and go back to the landing pagge",""
"passed","Fri Apr 12 08:30:23 GMT 2024","Fri Apr 12 08:30:30 GMT 2024","6738","chromium","","QA Automation > MoneySign Guide Page","","","Check the functionality for next button in 8 MS profile section",""
"passed","Fri Apr 12 08:29:05 GMT 2024","Fri Apr 12 08:29:08 GMT 2024","3263","chromium","","QA Automation > Homepage","","","Click on insurance planning and assert response",""
"passed","Fri Apr 12 08:31:05 GMT 2024","Fri Apr 12 08:31:11 GMT 2024","5508","chromium","","QA Automation > Magazine Page","","","Go to Dispatch One Finance section, assert response and go back to the landing pagge",""
"passed","Fri Apr 12 08:30:30 GMT 2024","Fri Apr 12 08:30:37 GMT 2024","6808","chromium","","QA Automation > MoneySign Guide Page","","","Check the functionality for previous button in 8 MS profile section",""
"passed","Fri Apr 12 08:31:22 GMT 2024","Fri Apr 12 08:31:27 GMT 2024","5255","chromium","","QA Automation > Magazine Page","","","Go to The thing about money section, assert response and go back to the landing pagge",""
"passed","Fri Apr 12 08:28:48 GMT 2024","Fri Apr 12 08:28:51 GMT 2024","3315","chromium","","QA Automation > Homepage","","","Go to home page and assert response",""
"passed","Fri Apr 12 08:29:15 GMT 2024","Fri Apr 12 08:29:19 GMT 2024","4374","chromium","","QA Automation > Homepage","","","Click on download the app in How it Works ? section",""
"passed","Fri Apr 12 08:30:17 GMT 2024","Fri Apr 12 08:30:23 GMT 2024","6355","chromium","","QA Automation > MoneySign Guide Page","","","Click on Stealthy Shark, assert response and close the card",""
"passed","Fri Apr 12 08:29:11 GMT 2024","Fri Apr 12 08:29:15 GMT 2024","3246","chromium","","QA Automation > Homepage","","","Click on will planning and assert response",""
"passed","Fri Apr 12 08:29:19 GMT 2024","Fri Apr 12 08:29:23 GMT 2024","4332","chromium","","QA Automation > Homepage","","","Click on download the app of FWP section",""
"passed","Fri Apr 12 08:30:37 GMT 2024","Fri Apr 12 08:30:42 GMT 2024","5465","chromium","","QA Automation > MoneySign Guide Page","","","Scroll down and click on download the app section",""
"passed","Fri Apr 12 08:30:11 GMT 2024","Fri Apr 12 08:30:17 GMT 2024","6228","chromium","","QA Automation > MoneySign Guide Page","","","Click on Tactical Tiger, assert response and close the card",""
"passed","Fri Apr 12 08:28:51 GMT 2024","Fri Apr 12 08:28:55 GMT 2024","4268","chromium","","QA Automation > Homepage","","","Click on download the App on Home Page",""
"passed","Fri Apr 12 08:30:47 GMT 2024","Fri Apr 12 08:30:51 GMT 2024","3258","chromium","","QA Automation > Magazine Page","","","Go to magazine Landing page and assert response",""
"passed","Fri Apr 12 08:29:38 GMT 2024","Fri Apr 12 08:29:44 GMT 2024","6314","chromium","","QA Automation > MoneySign Guide Page","","","Click on Persistant Horse, assert response and close the card",""
"passed","Fri Apr 12 08:29:58 GMT 2024","Fri Apr 12 08:30:04 GMT 2024","6811","chromium","","QA Automation > MoneySign Guide Page","","","Click on Virtuous Elephant, assert response and close the card",""
"passed","Fri Apr 12 08:29:28 GMT 2024","Fri Apr 12 08:29:32 GMT 2024","4021","chromium","","QA Automation > MoneySign Guide Page","","","To check the title of Moneysign page",""
"passed","Fri Apr 12 08:29:23 GMT 2024","Fri Apr 12 08:29:28 GMT 2024","4253","chromium","","QA Automation > Homepage","","","To check expansion and collapse tile in FAQ section",""
"passed","Fri Apr 12 08:29:02 GMT 2024","Fri Apr 12 08:29:05 GMT 2024","3290","chromium","","QA Automation > Homepage","","","Click on tax planning and assert response",""
"passed","Fri Apr 12 08:28:58 GMT 2024","Fri Apr 12 08:29:02 GMT 2024","3270","chromium","","QA Automation > Homepage","","","Click on liability planning and assert response",""
"passed","Fri Apr 12 08:31:11 GMT 2024","Fri Apr 12 08:31:16 GMT 2024","5558","chromium","","QA Automation > Magazine Page","","","Go to Long Story Short section, assert response and go back to the landing pagge",""
"passed","Fri Apr 12 08:29:08 GMT 2024","Fri Apr 12 08:29:11 GMT 2024","3254","chromium","","QA Automation > Homepage","","","Click on investment planning and assert response",""
"passed","Fri Apr 12 08:29:32 GMT 2024","Fri Apr 12 08:29:38 GMT 2024","6452","chromium","","QA Automation > MoneySign Guide Page","","","Click on vigilant turtle, assert response, and then close the card",""
"passed","Fri Apr 12 08:29:44 GMT 2024","Fri Apr 12 08:29:51 GMT 2024","6655","chromium","","QA Automation > MoneySign Guide Page","","","Click on Far-Sighted Eagle, assert response and close the card",""
"passed","Fri Apr 12 08:30:51 GMT 2024","Fri Apr 12 08:31:05 GMT 2024","14510","chromium","","QA Automation > Magazine Page","","","Go to Ask a QFA section, assert response and go back to the landing pagge",""
"passed","Fri Apr 12 08:28:55 GMT 2024","Fri Apr 12 08:28:58 GMT 2024","3310","chromium","","QA Automation > Homepage","","","Click on cashflow planning and assert response",""
"passed","Fri Apr 12 08:30:42 GMT 2024","Fri Apr 12 08:30:47 GMT 2024","5067","chromium","","QA Automation > MoneySign Guide Page","","","Click on read more link",""
